Date,gross_return,turnover,transaction_cost,net_return,benchmark_return
2025-11-18,0.01219964839690002,0.0,0.0,0.01219964839690002,-0.009888897464172763
2025-11-19,0.021756697356630217,0.0,0.0,0.021756697356630217,0.006895239004756896
2025-11-20,0.003182264396942136,0.0,0.0,0.003182264396942136,-0.012638664833798052
2025-11-21,0.02423138369606881,0.0,0.0,0.02423138369606881,0.013921858012985474
2025-11-24,0.02957809242748255,0.0,0.0,0.02957809242748255,0.027812540513327672
2025-11-25,0.004473589024926894,0.0,0.0,0.004473589024926894,0.008456220886816116
2025-11-26,-0.01431564982347644,0.0,0.0,-0.01431564982347644,0.003048293245638156
2025-11-28,-0.006344997263185936,0.0,0.0,-0.006344997263185936,0.006270519973420689
2025-12-01,-0.002905395996148974,0.0,0.0,-0.002905395996148974,-0.003997317239809968
2025-12-02,-0.0018879828626321427,0.0,0.0,-0.0018879828626321427,0.006844715719302045
2025-12-03,0.01856834838048449,0.0,0.0,0.01856834838048449,-0.0066910225176256555
2025-12-04,-0.006399237211719089,0.0,0.0,-0.006399237211719089,-0.003973347451633358
2025-12-05,0.003333414944391655,0.0,0.0,0.003333414944391655,0.0031588555636553974
2025-12-08,-0.019884192716168037,0.0,0.0,-0.019884192716168037,-0.0034750203382624503
2025-12-09,0.004336805253384757,0.0,0.0,0.004336805253384757,0.0033972655189261625
2025-12-10,0.01861396868411158,0.0,0.0,0.01861396868411158,-0.0039042878062676887
2025-12-11,-0.01727825094585672,0.0,0.0,-0.01727825094585672,-0.005575634100226286
2025-12-12,8.377461385994378e-05,0.0,0.0,8.377461385994378e-05,-0.006456289399646005
2025-12-15,0.002146686797967534,0.0,0.0,0.002146686797967534,-0.008732451199495542
2025-12-16,-0.004329917605652878,0.0,0.0,-0.004329917605652878,-7.423922768827011e-05
2025-12-17,-0.015781465264459116,0.0,0.0,-0.015781465264459116,-0.014261162700255311
2025-12-18,0.0014181968168278658,0.0,0.0,0.0014181968168278658,0.012380267401554882
2025-12-19,0.005765407379203613,0.0,0.0,0.005765407379203613,0.00832835108705443
2025-12-22,0.0052938542024754676,0.0,0.0,0.0052938542024754676,-0.0011313641102141576
2025-12-23,0.005386183494064833,0.0,0.0,0.005386183494064833,0.007954054011346154
2025-12-24,-0.0016151539096824208,0.0,0.0,-0.0016151539096824208,0.0022999789415470984
2025-12-26,-0.0006056923041928841,0.0,0.0,-0.0006056923041928841,-0.0013264043482185868
2025-12-29,0.0007051139077567381,0.0,0.0,0.0007051139077567381,7.516442936209937e-05
2025-12-30,7.236779061814413e-05,0.0,0.0,7.236779061814413e-05,-0.0002596457928916533
2025-12-31,0.002604986713408586,0.0,0.0,0.002604986713408586,-0.005031376336243325
2026-01-02,0.014476231768056957,0.0,0.0,0.014476231768056957,-0.006113684550325201
2026-01-05,0.0023004485543594577,0.0,0.0,0.0023004485543594577,-0.0032056095447433965
2026-01-06,-0.009460058907664493,0.0,0.0,-0.009460058907664493,-0.0044381285121137815
2026-01-07,0.006969691594259975,0.0,0.0,0.006969691594259975,0.00897764747177173
2026-01-08,0.010916264716046953,0.0,0.0,0.010916264716046953,-0.001765253467074679
2026-01-09,0.0035853063414209574,0.0,0.0,0.0035853063414209574,0.004446272801049922
2026-01-12,0.007197329685979803,0.0,0.0,0.007197329685979803,0.0030081170477660826
2026-01-13,0.01301369556267823,0.0,0.0,0.01301369556267823,0.0006053524400771263
2026-01-14,0.011800071467201245,0.0,0.0,0.011800071467201245,-0.009516488957168981
2026-01-15,-0.001595228834538942,0.0,0.0,-0.001595228834538942,-0.007254770179949133
2026-01-16,-0.007680634493911487,0.0,0.0,-0.007680634493911487,-0.0039085382023000825
2026-01-20,-0.006315097216675947,0.0,0.0,-0.006315097216675947,-0.023470094509162598
