Date,strategy_return,cumulative_returns,drawdown
2023-11-06,-0.004032589071103487,0.004037483940622311,-0.021770267493764428
2023-11-07,0.005691421142788533,0.009751884104874264,-0.016202750111673936
2023-11-08,0.0007630211239089135,0.010522346122353143,-0.015452092028365616
2023-11-09,0.009511393925044964,0.02013382222638338,-0.006087669037568633
2023-11-10,0.006853113926535759,0.027124915530413185,0.0
2023-11-13,-0.004812667531358561,0.02218170479879067,-0.00481266753135845
2023-11-14,0.002702702702702675,0.0249443580550035,-0.0021229720382001105
2023-11-15,-0.004442936482976556,0.0203905953735799,-0.006556476291255775
2023-11-16,-0.00854117769540852,0.011675257979770537,-0.015041653957604928
2023-11-17,-0.011725438416166356,-0.00018707795483052791,-0.026590722386614085
2023-11-20,-0.013574822607287151,-0.013759361012067095,-0.03980458065450332
2023-11-21,0.00734712947341587,-0.0065133233454784945,-0.032749900588791236
2023-11-22,-0.0017152883126241303,-0.008217439430691753,-0.03440901337969582
2023-11-24,-0.005992989818774608,-0.014161182218621837,-0.0401957903316118
2023-11-27,0.0051748383014948995,-0.009059625745266309,-0.03522895874548382
2023-11-28,0.007588594216626499,-0.0015397813521751402,-0.02790770280145105
2023-11-29,-0.0046504354289402805,-0.006183056127362474,-0.03242835526054322
2023-11-30,0.018381946143112615,0.012085233411017082,-0.014642505397339689
2023-12-01,-0.006556797067271969,0.005449195920758543,-0.02110329452816473
2023-12-04,0.010177497426885007,0.015682152525105852,-0.011140575827038757
2023-12-05,0.007757704924163722,0.02356151496113501,-0.003469296202826544
2023-12-06,0.0017180396507814333,0.025320034228852206,-0.0017572169404818094
2023-12-07,-0.04300631881540795,-0.01877520605101879,-0.04468796432391953
2023-12-08,-0.02300998499168705,-0.041353173833256096,-0.06666967992720418
2023-12-11,-0.004764115725035101,-0.04592027825255207,-0.07111617358171507
2023-12-12,-0.014072056585640258,-0.05934614208419409,-0.08418747934855919
2023-12-13,0.00040401236796006046,-0.058966106291626796,-0.08381747976348342
2023-12-14,0.023302270330488484,-0.037037880110282195,-0.06246834700486392
2023-12-15,-0.007728032177841571,-0.044479682358832484,-0.06971362178695528
2023-12-18,-0.032636045295743155,-0.07566408672637248,-0.10007449016432912
2023-12-19,0.004622279984515476,-0.07139154733547892,-0.09591478249266072
2023-12-20,0.019440179748338893,-0.05333923209985392,-0.07833920335650213
2023-12-21,0.015805321945576378,-0.038376953889945664,-0.0637720577409353
2023-12-22,0.013167562386660947,-0.025714722437840565,-0.05144421790310394
2023-12-26,0.0030529382095745294,-0.02274028968694508,-0.048548335712027435
2023-12-27,-0.00864406043885979,-0.0311877816873537,-0.05677274140278632
2023-12-28,-0.003223613138392145,-0.03431085748294116,-0.05981334118608983
