Date,GOOGL,AAPL,MSFT
2024-09-10,148.66,220.11,414.20
2024-09-11,151.16,222.66,423.04
2024-09-12,154.69,222.77,427.00
2024-09-13,157.46,222.50,430.59
2024-09-16,158.06,216.32,431.34
2024-09-17,159.32,216.79,435.15
2024-09-18,159.81,220.69,430.81
2024-09-19,162.14,228.87,438.69
2024-09-20,163.59,228.20,435.27
2024-09-23,161.85,226.47,433.51
2024-09-24,162.29,227.37,429.17
2024-09-25,161.49,226.37,432.11
2024-09-26,162.73,227.52,431.31
2024-09-27,163.95,227.79,428.02
2024-09-30,165.85,233.00,430.30
2024-10-01,166.99,226.21,420.69
2024-10-02,165.86,226.78,417.13
2024-10-03,165.86,225.67,416.54
2024-10-04,167.06,226.80,416.06
2024-10-07,162.98,221.69,409.54
2024-10-08,164.38,225.77,414.71
2024-10-09,161.86,229.54,417.46
2024-10-10,162.08,229.04,415.84
2024-10-11,163.24,227.55,416.32
2024-10-14,164.96,231.30,419.14
2024-10-15,165.46,233.85,418.74
2024-10-16,165.16,231.78,416.12
2024-10-17,162.93,232.15,416.72
2024-10-18,163.42,235.00,418.16
2024-10-21,164.07,236.48,418.78
2024-10-22,165.14,235.86,427.51
2024-10-23,162.78,230.76,424.60
2024-10-24,162.72,230.57,424.73
2024-10-25,165.27,231.41,428.15
2024-10-28,166.72,233.40,426.59
2024-10-29,169.68,233.67,431.95
2024-10-30,174.46,230.10,432.53
2024-10-31,171.11,225.91,406.35
2024-11-01,171.29,222.91,410.37
2024-11-04,169.24,222.01,408.46
2024-11-05,169.74,223.45,411.46
2024-11-06,176.51,222.72,420.18
2024-11-07,180.75,227.48,425.43
2024-11-08,178.35,226.96,422.54
2024-11-11,180.35,224.23,418.01
2024-11-12,181.62,224.23,423.03
2024-11-13,178.88,225.12,425.20
2024-11-14,175.58,228.22,426.89
2024-11-15,172.49,225.00,415.00
2024-11-18,175.30,228.02,415.76
2024-11-19,178.12,228.28,417.79
2024-11-20,175.98,229.00,415.49
2024-11-21,167.63,228.52,412.87
2024-11-22,164.76,229.87,417.00
2024-11-25,167.65,232.87,418.79
2024-11-26,169.12,235.06,427.99
2024-11-27,169.23,234.93,422.99
2024-11-29,168.95,237.33,423.46
2024-12-02,171.49,239.59,430.98
2024-12-03,171.34,242.65,431.20
2024-12-04,174.37,243.01,437.42
2024-12-05,172.64,243.04,442.62
2024-12-06,174.71,242.84,443.57
2024-12-09,175.37,246.75,446.02
2024-12-10,185.17,247.77,443.33
2024-12-11,195.40,246.49,448.99
2024-12-12,191.96,247.96,449.56
2024-12-13,189.82,248.13,447.27
2024-12-16,196.66,251.04,451.59
2024-12-17,195.42,253.48,454.46
2024-12-18,188.40,248.05,437.39
2024-12-19,188.51,249.79,437.03
2024-12-20,191.41,254.49,436.60
2024-12-23,194.63,255.27,435.25
2024-12-24,196.11,258.20,439.33
2024-12-26,195.60,259.02,438.11
2024-12-27,192.76,255.59,430.53
2024-12-30,191.24,252.20,424.83
2024-12-31,189.30,250.42,421.50
2025-01-02,189.43,243.85,418.58
2025-01-03,191.79,243.36,423.35
2025-01-06,196.87,245.00,427.85
2025-01-07,195.49,242.21,422.37
2025-01-08,193.95,242.70,424.56
2025-01-10,192.04,236.85,418.95
2025-01-13,191.01,234.40,417.19
2025-01-14,189.66,233.28,415.67
2025-01-15,195.55,237.87,426.31
2025-01-16,192.91,228.26,424.58
2025-01-17,196.00,229.98,429.03
2025-01-21,198.05,222.64,428.50
2025-01-22,198.37,223.83,446.20
2025-01-23,197.98,223.66,446.71
2025-01-24,200.21,222.78,444.06
2025-01-27,191.81,229.86,434.56
2025-01-28,195.30,238.26,447.20
2025-01-29,195.41,239.36,442.33
2025-01-30,200.87,237.59,414.99
2025-01-31,204.02,236.00,415.06
2025-02-03,201.23,228.01,410.92
2025-02-04,206.38,232.80,412.37
2025-02-05,191.33,232.47,413.29
2025-02-06,191.60,233.22,415.82
2025-02-07,185.34,227.63,409.75
2025-02-10,186.47,227.65,412.22
2025-02-11,185.32,232.62,411.44
2025-02-12,183.61,236.87,409.04
2025-02-13,186.14,241.53,410.54
2025-02-14,185.23,244.60,408.43
2025-02-18,183.77,244.47,409.64
2025-02-19,185.27,244.87,414.77
2025-02-20,184.56,245.83,416.13
2025-02-21,179.66,245.55,408.21
2025-02-24,179.25,247.10,404.00
2025-02-25,175.42,247.04,397.90
2025-02-26,172.73,240.36,399.73
2025-02-27,168.50,237.30,392.53
2025-02-28,170.28,241.84,396.99
2025-03-03,167.01,238.03,388.49
2025-03-04,170.92,235.93,388.61
2025-03-05,173.02,235.74,401.02
2025-03-06,172.35,235.33,396.89
2025-03-07,173.86,239.07,393.31
2025-03-10,165.87,227.48,380.16
2025-03-11,164.04,220.84,380.45
2025-03-12,167.11,216.98,383.27
2025-03-13,162.76,209.68,378.77
2025-03-14,165.49,213.49,388.56
2025-03-17,164.29,214.00,388.70
2025-03-18,160.67,212.69,383.52
2025-03-19,163.89,215.24,387.82
2025-03-20,162.80,214.10,386.84
2025-03-21,163.99,218.27,391.26
2025-03-24,167.68,220.73,393.08
2025-03-25,170.56,223.75,395.16
2025-03-26,165.06,221.53,389.97
2025-03-27,162.24,223.85,390.58
2025-03-28,154.33,217.90,378.80
2025-03-31,154.64,222.13,375.39
2025-04-01,157.07,223.19,382.19
2025-04-02,157.04,223.89,382.14
2025-04-03,150.72,203.19,373.11
2025-04-04,145.60,188.38,359.84
2025-04-07,146.75,181.46,357.86
2025-04-08,144.70,172.42,354.56
2025-04-09,158.71,198.85,390.49
2025-04-10,152.82,190.42,381.35
2025-04-11,157.14,198.15,388.45
2025-04-14,159.07,202.52,387.81
2025-04-15,156.31,202.14,385.73
2025-04-16,153.33,194.27,371.61
2025-04-17,151.16,196.98,367.78
2025-04-21,147.67,193.16,359.12
2025-04-22,151.47,199.74,366.82
2025-04-23,155.35,204.60,374.39
2025-04-24,159.28,208.37,387.30
2025-04-25,161.96,209.28,391.85
2025-04-28,160.61,210.14,391.16
2025-04-29,160.16,211.21,394.04
2025-04-30,158.80,212.50,395.26
2025-05-01,161.30,213.32,425.40
2025-05-02,164.03,205.35,435.28
2025-05-05,164.21,198.89,436.17
2025-05-06,163.23,198.51,433.31
2025-05-07,151.38,196.25,433.35
2025-05-08,154.28,197.49,438.17
2025-05-09,152.75,198.53,438.73
2025-05-12,158.46,210.79,449.26
2025-05-13,159.53,212.93,449.14
2025-05-14,165.37,212.33,452.94
2025-05-15,163.96,211.45,453.13
2025-05-16,166.19,211.26,454.27
2025-05-19,166.54,208.78,458.87
2025-05-20,163.98,206.86,458.17
2025-05-21,168.56,202.09,452.57
2025-05-22,170.87,201.36,454.86
2025-05-23,168.47,195.27,450.18
2025-05-27,172.90,200.21,460.69
2025-05-28,172.36,200.42,457.36
2025-05-29,171.86,199.95,458.68
2025-05-30,171.74,200.85,460.36
2025-06-02,169.03,201.70,461.97
2025-06-03,166.18,203.27,462.97
2025-06-04,168.05,202.82,463.87
2025-06-05,168.21,200.63,467.68
2025-06-06,173.68,203.92,470.38
2025-06-09,176.09,201.45,472.75
2025-06-10,178.60,202.67,470.92
2025-06-11,177.35,198.78,472.62
2025-06-12,175.70,199.20,478.87
2025-06-13,174.67,196.45,474.96
2025-06-16,176.77,198.42,479.14
2025-06-17,175.95,195.64,478.04
2025-06-18,173.32,196.58,480.24
2025-06-20,166.64,201.00,477.40
2025-06-23,165.19,201.50,486.00
2025-06-24,166.77,200.30,490.11
2025-06-25,170.68,201.56,492.27
2025-06-26,173.54,201.00,497.45
2025-06-27,178.53,201.08,495.94
2025-06-30,176.23,205.17,497.41
2025-07-01,175.84,207.82,492.05
2025-07-02,178.64,212.44,491.09
2025-07-03,179.53,213.55,498.84
2025-07-07,176.79,209.95,497.72
2025-07-08,174.36,210.01,496.62
2025-07-09,176.62,211.14,503.51
2025-07-10,177.62,212.41,501.48
2025-07-11,180.19,211.16,503.32
2025-07-14,181.56,208.62,503.02
2025-07-15,182.00,209.11,505.82
2025-07-16,182.97,210.16,505.62
2025-07-17,183.58,210.02,511.70
2025-07-18,185.06,211.18,510.05
2025-07-21,190.10,212.48,510.06
2025-07-22,191.34,214.40,505.27
2025-07-23,190.23,214.15,505.87
2025-07-24,192.17,213.76,510.88
2025-07-25,193.18,213.88,513.71
2025-07-28,192.58,214.05,512.50
2025-07-29,195.75,211.27,512.57
2025-07-30,196.53,209.05,513.24
2025-07-31,191.90,207.57,533.50
2025-08-01,189.13,202.38,524.11
2025-08-04,195.04,203.35,535.64
2025-08-05,194.67,202.92,527.75
2025-08-06,196.09,213.25,524.94
2025-08-07,196.52,220.03,520.84
2025-08-08,201.42,229.35,522.04
2025-08-11,201.00,227.18,521.77
2025-08-12,203.34,229.65,529.24
2025-08-13,201.96,233.33,520.58
2025-08-14,202.94,232.78,522.48
2025-08-15,203.90,231.59,520.17
2025-08-18,203.50,230.89,517.10
2025-08-19,201.57,230.56,509.77
2025-08-20,199.32,226.01,505.72
2025-08-21,199.75,224.90,504.24
2025-08-22,206.09,227.76,507.23
2025-08-25,208.49,227.16,504.26
2025-08-26,207.14,229.31,502.04
2025-08-27,207.48,230.49,506.74
2025-08-28,211.64,232.56,509.64
2025-08-29,212.91,232.14,506.69
2025-09-02,211.35,229.72,505.12
2025-09-03,230.66,238.47,505.35
2025-09-04,232.30,239.78,507.97
2025-09-05,235.00,239.69,495.00
2025-09-08,234.04,237.88,498.20
2025-09-09,239.63,234.35,498.41
2025-09-10,239.17,226.79,500.37
2025-09-11,240.37,230.03,501.01
2025-09-12,240.80,234.07,509.90
2025-09-15,251.61,236.70,515.36
2025-09-16,251.16,238.15,509.04
2025-09-17,249.53,238.99,510.02
2025-09-18,252.03,237.88,508.45
2025-09-19,254.72,245.50,517.93
2025-09-22,252.53,256.08,514.45
2025-09-23,251.66,254.43,509.23
2025-09-24,247.14,252.31,510.15
2025-09-25,245.79,256.87,507.03
2025-09-26,246.54,255.46,511.46
