simulation_id,mean_daily_return,estimated_se,ci_lower,ci_upper,covers_trus_mean,t_statistic,p_value,reject_null,sample_sharpe
105,4.818108699877201e-06,0.0006660128497693684,-0.0013068677097413687,0.001316503927141123,True,0.007234257869867899,0.9942336940621944,False,0.0072342578698679
106,-0.00028238565144270535,0.0006194033266016999,-0.0015022758677953273,0.0009375045649099166,True,-0.45589947505123773,0.6488564474725113,False,-0.45589947505123773
107,0.0006346307224289873,0.0006528296522390298,-0.000651091312808612,0.0019203527576665865,True,0.9721230036846132,0.3319252356064602,False,0.9721230036846134
108,0.0005311263473694607,0.0006774869589321088,-0.0008031572727106352,0.0018654099674495566,True,0.7839654186209731,0.43379958288131687,False,0.7839654186209732
109,-0.0007496035615852828,0.0006310653402148174,-0.0019924616499182907,0.0004932545267477251,True,-1.1878382693781193,0.2360199323244993,False,-1.1878382693781195
110,-0.001056865179059585,0.000634693145529602,-0.002306868085672175,0.00019313772755300516,True,-1.6651592765787842,0.09712863347076851,False,-1.665159276578784
111,-0.00022765783309061793,0.0006473988720098109,-0.0015026841626639732,0.0010473684964827372,True,-0.35165003050417415,0.7253957650866109,False,-0.35165003050417415
112,-0.0006006594160517647,0.0005778932880553731,-0.0017387972624568382,0.000537478430353309,True,-1.0393950379195445,0.2996212460446569,False,-1.0393950379195445
113,0.00033476003722202844,0.0006606273950289756,-0.0009663193423024959,0.0016358394167465527,True,0.5067304803600305,0.6127887899958165,False,0.5067304803600305
114,0.000157216936638598,0.0005740966864478474,-0.000973443653901837,0.001287877527179033,True,0.27385097379913204,0.7844243715890736,False,0.27385097379913204
115,-0.00030071233237878743,0.0006273769885401786,-0.0015363063587845774,0.0009348816940270025,True,-0.47931680292977324,0.6321306119445268,False,-0.47931680292977336
116,0.0007729331817433175,0.0006358721830232022,-0.00047939179231932464,0.0020252581558059595,True,1.2155480336763123,0.2252992002772773,False,1.2155480336763123
